source_module,target_module
src/CompareFramework_API.bas,src/CompareFramework_ComparatorConfig.bas
src/CompareFramework_API.bas,src/CompareFramework_Main.bas
src/CompareFramework_API.bas,src/CompareFramework_Quality.bas
src/CompareFramework_API.bas,src/CompareFramework_Report.bas
src/CompareFramework_API.bas,src/CompareFramework_Validation.bas
src/CompareFramework_API.bas,src/Modes/CF_ModeReference.bas
src/CompareFramework_Audit.bas,src/CompareFramework_Context.bas
src/CompareFramework_Audit.bas,src/CompareFramework_Utils.bas
src/CompareFramework_ComparatorConfig.bas,src/CompareFramework_Context.bas
src/CompareFramework_ComparatorConfig.bas,src/CompareFramework_Utils.bas
src/CompareFramework_Comparators.bas,src/CompareFramework_ComparatorConfig.bas
src/CompareFramework_Comparators.bas,src/CompareFramework_Config.bas
src/CompareFramework_Config.bas,src/CompareFramework_Rules.bas
src/CompareFramework_Config.bas,src/CompareFramework_Utils.bas
src/CompareFramework_EngineMemory.bas,src/CompareFramework_Audit.bas
src/CompareFramework_EngineMemory.bas,src/CompareFramework_ComparatorConfig.bas
src/CompareFramework_EngineMemory.bas,src/CompareFramework_Comparators.bas
src/CompareFramework_EngineMemory.bas,src/CompareFramework_Config.bas
src/CompareFramework_EngineMemory.bas,src/CompareFramework_Context.bas
src/CompareFramework_EngineMemory.bas,src/CompareFramework_Index.bas
src/CompareFramework_EngineMemory.bas,src/CompareFramework_Report.bas
src/CompareFramework_EngineMemory.bas,src/CompareFramework_Rules.bas
src/CompareFramework_EngineMemory.bas,src/CompareFramework_Tests.bas
src/CompareFramework_EngineMemory.bas,src/CompareFramework_Utils.bas
src/CompareFramework_Index.bas,src/CompareFramework_Report.bas
src/CompareFramework_Index.bas,src/CompareFramework_Utils.bas
src/CompareFramework_Main.bas,src/CompareFramework_Audit.bas
src/CompareFramework_Main.bas,src/CompareFramework_ComparatorConfig.bas
src/CompareFramework_Main.bas,src/CompareFramework_Comparators.bas
src/CompareFramework_Main.bas,src/CompareFramework_Config.bas
src/CompareFramework_Main.bas,src/CompareFramework_Context.bas
src/CompareFramework_Main.bas,src/CompareFramework_EngineMemory.bas
src/CompareFramework_Main.bas,src/CompareFramework_Index.bas
src/CompareFramework_Main.bas,src/CompareFramework_Performance.bas
src/CompareFramework_Main.bas,src/CompareFramework_Quality.bas
src/CompareFramework_Main.bas,src/CompareFramework_Reliability.bas
src/CompareFramework_Main.bas,src/CompareFramework_Report.bas
src/CompareFramework_Main.bas,src/CompareFramework_Rules.bas
src/CompareFramework_Main.bas,src/CompareFramework_Scenarios.bas
src/CompareFramework_Main.bas,src/CompareFramework_Utils.bas
src/CompareFramework_Main.bas,src/CompareFramework_Validation.bas
src/CompareFramework_Performance.bas,src/CompareFramework_Utils.bas
src/CompareFramework_Profiles.bas,src/CompareFramework_Config.bas
src/CompareFramework_Profiles.bas,src/CompareFramework_Context.bas
src/CompareFramework_Profiles.bas,src/CompareFramework_Main.bas
src/CompareFramework_Profiles.bas,src/CompareFramework_Utils.bas
src/CompareFramework_Quality.bas,src/CompareFramework_EngineMemory.bas
src/CompareFramework_Quality.bas,src/CompareFramework_Main.bas
src/CompareFramework_Quality.bas,src/CompareFramework_Reliability.bas
src/CompareFramework_Quality.bas,src/CompareFramework_Tests.bas
src/CompareFramework_Reliability.bas,src/CompareFramework_ComparatorConfig.bas
src/CompareFramework_Reliability.bas,src/CompareFramework_Comparators.bas
src/CompareFramework_Report.bas,src/CompareFramework_Utils.bas
src/CompareFramework_Rules.bas,src/CompareFramework_Config.bas
src/CompareFramework_Rules.bas,src/CompareFramework_Index.bas
src/CompareFramework_Rules.bas,src/CompareFramework_Report.bas
src/CompareFramework_Rules.bas,src/CompareFramework_Utils.bas
src/CompareFramework_Scenarios.bas,src/CompareFramework_Main.bas
src/CompareFramework_Tests.bas,src/CompareFramework_Audit.bas
src/CompareFramework_Tests.bas,src/CompareFramework_Comparators.bas
src/CompareFramework_Tests.bas,src/CompareFramework_Context.bas
src/CompareFramework_Tests.bas,src/CompareFramework_EngineMemory.bas
src/CompareFramework_Tests.bas,src/CompareFramework_Performance.bas
src/CompareFramework_Tests.bas,src/CompareFramework_Profiles.bas
src/CompareFramework_Tests.bas,src/CompareFramework_Utils.bas
src/CompareFramework_Tests.bas,src/CompareFramework_Validation.bas
src/CompareFramework_Validation.bas,src/CompareFramework_Context.bas
src/CompareFramework_Validation.bas,src/CompareFramework_Main.bas
src/Modes/CF_ModeReference.bas,src/CompareFramework_Audit.bas
src/Modes/CF_ModeReference.bas,src/CompareFramework_ComparatorConfig.bas
src/Modes/CF_ModeReference.bas,src/CompareFramework_Config.bas
src/Modes/CF_ModeReference.bas,src/CompareFramework_Context.bas
src/Modes/CF_ModeReference.bas,src/CompareFramework_EngineMemory.bas
src/Modes/CF_ModeReference.bas,src/CompareFramework_Index.bas
src/Modes/CF_ModeReference.bas,src/CompareFramework_Report.bas
src/Modes/CF_ModeReference.bas,src/CompareFramework_Rules.bas
src/Modes/CF_ModeReference.bas,src/CompareFramework_Utils.bas
