module,loc,procedures,public,private,outgoing_dependencies,incoming_dependencies
src/CompareFramework_API.bas,41,6,6,0,6,0
src/CompareFramework_Audit.bas,313,17,8,9,2,4
src/CompareFramework_ComparatorConfig.bas,214,12,7,5,2,6
src/CompareFramework_Comparators.bas,244,19,19,0,2,4
src/CompareFramework_Config.bas,220,13,13,0,2,6
src/CompareFramework_Context.bas,177,11,9,2,0,8
src/CompareFramework_EngineMemory.bas,372,12,12,0,10,4
src/CompareFramework_Index.bas,133,6,6,0,2,4
src/CompareFramework_Main.bas,466,19,19,0,15,5
src/CompareFramework_Performance.bas,189,10,7,3,1,2
src/CompareFramework_Profiles.bas,202,11,6,5,4,1
src/CompareFramework_Quality.bas,347,14,4,10,4,2
src/CompareFramework_Reliability.bas,260,9,4,5,2,2
src/CompareFramework_Report.bas,616,26,26,0,1,6
src/CompareFramework_Rules.bas,185,9,9,0,4,4
src/CompareFramework_Scenarios.bas,343,17,5,12,1,1
src/CompareFramework_Tests.bas,485,26,8,18,8,2
src/CompareFramework_Utils.bas,251,19,19,0,0,12
src/CompareFramework_Validation.bas,260,15,4,11,2,3
src/Modes/CF_ModeReference.bas,670,14,13,1,9,1
